COUNTRY,SEX,YEAR,E0,E0_lo,E0_hi,E065,E065_lo,E065_hi,E65,E65_lo,E65_hi,ll65,ll65_lo,ll65_hi,Eadj65,Eadj65_lo,Eadj65_hi
AUS,m,2021,81.638,81.49,81.793,63.356,63.332,63.381,20.543,20.379,20.706,88993,88876,89121,18.282,18.136,18.433
AUS,f,2021,85.626,85.455,85.807,64.03,64.005,64.055,23.106,22.93,23.292,93467,93335,93594,21.597,21.43,21.769
AUS,b,2021,83.635,83.398,83.876,63.692,63.655,63.728,21.858,21.601,22.11,91240,91064,91424,19.943,19.707,20.177
RUS,m,2021,69.353,69.116,69.598,59.828,59.711,59.95,14.486,14.316,14.656,65752,65000,66518,9.525,9.37,9.685
RUS,f,2021,78.856,78.692,79.018,62.774,62.73,62.82,18.726,18.57,18.878,85880,85557,86213,16.082,15.933,16.227
RUS,b,2021,74.277,73.95,74.605,61.301,61.164,61.433,17.071,16.819,17.335,76014,75093,76915,12.976,12.726,13.22
AUT,m,2021,79.932,79.757,80.104,63.455,63.411,63.498,18.734,18.584,18.893,87949,87548,88375,16.477,16.324,16.638
AUT,f,2021,84.452,84.286,84.627,64.111,64.083,64.139,21.815,21.644,21.989,93243,93053,93443,20.341,20.182,20.51
AUT,b,2021,82.233,81.983,82.479,63.778,63.728,63.831,20.376,20.14,20.616,90571,90122,91041,18.455,18.22,18.682
BEL,m,2021,80.051,79.899,80.211,63.358,63.325,63.389,19.013,18.867,19.164,87801,87504,88091,16.693,16.556,16.839
BEL,f,2021,84.285,84.068,84.505,63.975,63.942,64.007,22.032,21.818,22.264,92187,91971,92409,20.311,20.106,20.533
BEL,b,2021,82.205,81.945,82.462,63.662,63.616,63.709,20.612,20.357,20.875,89965,89578,90358,18.544,18.295,18.793
BGR,m,2021,71.878,71.765,71.987,61.46,61.402,61.516,14.375,14.285,14.463,72467,72170,72754,10.417,10.338,10.49
BGR,f,2021,79.005,78.744,79.262,63.178,63.107,63.249,18.23,17.964,18.508,86814,86674,86951,15.826,15.596,16.069
BGR,b,2021,75.387,75.131,75.635,62.291,62.199,62.384,16.484,16.226,16.742,79446,79107,79781,13.096,12.877,13.311
CAN,m,2021,80.553,80.386,80.721,63.052,63.031,63.073,19.97,19.793,20.148,87636,87448,87833,17.501,17.338,17.66
CAN,f,2021,84.67,84.545,84.8,63.752,63.736,63.766,22.713,22.586,22.847,92101,91981,92220,20.919,20.797,21.042
CAN,b,2021,82.627,82.406,82.855,63.396,63.368,63.422,21.403,21.173,21.644,89848,89617,90079,19.231,19.013,19.455
CHE,m,2021,82.333,82.11,82.547,63.801,63.761,63.84,20.322,20.119,20.531,91187,90843,91531,18.531,18.326,18.739
CHE,f,2021,85.807,85.679,85.947,64.214,64.193,64.237,22.829,22.71,22.961,94584,94401,94769,21.592,21.474,21.724
CHE,b,2021,84.122,83.843,84.424,64.004,63.96,64.051,21.664,21.396,21.945,92861,92469,93249,20.118,19.854,20.393
CHL,m,2021,77.773,77.528,78.026,62.435,62.378,62.491,18.167,17.927,18.43,84428,83938,84933,15.338,15.111,15.577
CHL,f,2021,82.856,82.549,83.171,63.555,63.509,63.602,21.122,20.809,21.451,91379,90961,91807,19.301,19.001,19.606
CHL,b,2021,80.374,79.997,80.774,62.995,62.921,63.066,19.761,19.385,20.191,87947,87320,88595,17.379,17.015,17.758
CZE,m,2021,76.796,76.65,76.941,62.99,62.95,63.031,16.543,16.427,16.666,83456,83036,83868,13.806,13.684,13.932
CZE,f,2021,82.485,82.281,82.705,63.98,63.954,64.006,20.159,19.947,20.382,91793,91549,92049,18.505,18.306,18.716
CZE,b,2021,79.652,79.4,79.905,63.47,63.421,63.518,18.491,18.249,18.736,87518,86979,88038,16.183,15.954,16.413
DEUTNP,m,2021,79.146,78.985,79.312,63.328,63.288,63.366,18.331,18.168,18.503,86291,86015,86568,15.818,15.668,15.973
DEUTNP,f,2021,83.733,83.504,83.956,63.991,63.962,64.021,21.413,21.184,21.642,92193,92014,92371,19.742,19.521,19.958
DEUTNP,b,2021,81.449,81.183,81.729,63.652,63.606,63.697,19.953,19.672,20.244,89196,88867,89518,17.797,17.539,18.061
DNK,m,2021,79.902,79.762,80.04,63.516,63.488,63.545,18.672,18.531,18.81,87759,87510,87997,16.386,16.255,16.516
DNK,f,2021,83.785,83.627,83.947,64.059,64.036,64.08,21.339,21.182,21.5,92442,92200,92671,19.726,19.576,19.88
DNK,b,2021,81.846,81.632,82.073,63.784,63.748,63.819,20.054,19.843,20.268,90069,89733,90399,18.063,17.863,18.273
ESP,m,2021,81.293,81.118,81.463,63.72,63.682,63.758,19.735,19.571,19.909,89043,88774,89331,17.573,17.407,17.731
ESP,f,2021,86.514,86.301,86.745,64.242,64.219,64.269,23.625,23.399,23.872,94272,94186,94365,22.272,22.059,22.498
ESP,b,2021,83.953,83.665,84.241,63.979,63.933,64.025,21.791,21.509,22.095,91659,91359,91953,19.973,19.704,20.256
EST,m,2021,75.255,74.884,75.622,62.442,62.315,62.571,16.194,15.927,16.47,79124,78051,80230,12.813,12.528,13.092
EST,f,2021,83.238,83.112,83.372,63.907,63.882,63.931,21.049,20.93,21.173,91840,91624,92055,19.331,19.214,19.454
EST,b,2021,79.47,79.02,79.934,63.158,63.015,63.297,19.075,18.717,19.463,85513,84337,86718,16.312,15.931,16.709
FIN,m,2021,79.628,79.516,79.745,63.293,63.264,63.323,18.729,18.64,18.823,87212,86947,87490,16.334,16.241,16.434
FIN,f,2021,84.801,84.674,84.924,64.129,64.104,64.152,22.097,21.978,22.216,93551,93328,93759,20.672,20.553,20.788
FIN,b,2021,82.228,82.059,82.396,63.699,63.66,63.739,20.515,20.366,20.658,90320,89990,90672,18.529,18.379,18.677
FRATNP,m,2021,80.18,80.027,80.336,63.099,63.065,63.133,19.91,19.769,20.065,85794,85554,86023,17.081,16.949,17.221
FRATNP,f,2021,85.834,85.645,86.023,63.945,63.922,63.97,23.638,23.448,23.834,92600,92476,92730,21.889,21.705,22.07
FRATNP,b,2021,83.08,82.84,83.308,63.523,63.479,63.567,21.919,21.672,22.163,89225,88924,89513,19.557,19.334,19.776
GBRTENW,m,2021,80.189,80.029,80.343,63.255,63.232,63.28,19.28,19.113,19.439,87828,87620,88043,16.933,16.783,17.081
GBRTENW,f,2021,83.783,83.606,83.97,63.872,63.845,63.896,21.647,21.467,21.842,91982,91802,92174,19.911,19.74,20.093
GBRTENW,b,2021,82.003,81.763,82.237,63.561,63.525,63.596,20.513,20.268,20.761,89903,89627,90178,18.442,18.212,18.672
GBR_SCO,m,2021,77.543,77.344,77.746,62.621,62.575,62.669,17.779,17.578,17.985,83934,83508,84373,14.922,14.734,15.107
GBR_SCO,f,2021,81.458,81.291,81.622,63.588,63.557,63.619,19.927,19.766,20.09,89675,89371,89976,17.869,17.713,18.029
GBR_SCO,b,2021,79.528,79.26,79.804,63.107,63.051,63.161,18.912,18.64,19.192,86829,86309,87331,16.421,16.175,16.678
GBR_NIR,m,2021,79.381,79.084,79.694,62.954,62.899,63.01,18.91,18.597,19.223,86869,86366,87384,16.427,16.144,16.723
GBR_NIR,f,2021,82.944,82.722,83.167,63.77,63.732,63.807,21.044,20.815,21.268,91116,90925,91325,19.174,18.96,19.384
GBR_NIR,b,2021,81.187,80.76,81.598,63.359,63.287,63.428,20.032,19.611,20.464,88997,88426,89541,17.827,17.43,18.227
GRC,m,2021,79.239,79.02,79.458,63.097,63.036,63.157,18.951,18.716,19.186,85176,84960,85393,16.142,15.938,16.351
GRC,f,2021,84.189,83.906,84.475,64.026,64.002,64.052,21.644,21.343,21.942,93157,93065,93249,20.163,19.881,20.44
GRC,b,2021,81.736,81.386,82.095,63.562,63.492,63.623,20.363,19.985,20.746,89249,89010,89491,18.174,17.836,18.524
HRV,m,2021,75.816,75.567,76.063,62.772,62.698,62.847,16.041,15.799,16.285,81321,80713,81913,13.045,12.828,13.256
HRV,f,2021,81.768,81.496,82.052,63.903,63.857,63.951,19.54,19.251,19.841,91427,91139,91714,17.865,17.594,18.137
HRV,b,2021,78.817,78.434,79.226,63.325,63.233,63.413,17.944,17.582,18.348,86337,85657,87019,15.492,15.155,15.869
HUN,m,2021,73.548,73.402,73.688,62.323,62.255,62.389,14.983,14.891,15.077,74919,74465,75356,11.225,11.131,11.321
HUN,f,2021,79.976,79.767,80.2,63.585,63.515,63.661,18.745,18.559,18.932,87441,87057,87826,16.39,16.217,16.574
HUN,b,2021,76.853,76.6,77.121,62.947,62.842,63.044,17.121,16.932,17.334,81223,80598,81838,13.906,13.713,14.113
ISR,m,2021,81.416,81.227,81.606,63.567,63.529,63.603,19.969,19.771,20.164,89378,89143,89626,17.848,17.67,18.021
ISR,f,2021,85.11,84.974,85.251,64.154,64.138,64.169,22.295,22.158,22.438,93992,93865,94118,20.956,20.823,21.095
ISR,b,2021,83.313,83.068,83.568,63.86,63.82,63.902,21.21,20.954,21.475,91714,91439,91999,19.453,19.212,19.704
ITA,m,2021,81.528,81.324,81.738,63.743,63.708,63.781,19.675,19.467,19.877,90391,90077,90716,17.785,17.591,17.981
ITA,f,2021,85.627,85.354,85.909,64.221,64.184,64.258,22.718,22.451,23.004,94223,93986,94467,21.406,21.142,21.679
ITA,b,2021,83.648,83.298,83.98,63.98,63.927,64.031,21.304,20.973,21.641,92321,91923,92744,19.668,19.338,19.999
KOR,m,2021,81.121,81.006,81.246,63.517,63.497,63.536,19.709,19.591,19.834,89324,89119,89530,17.604,17.495,17.725
KOR,f,2021,87.013,86.867,87.161,64.204,64.192,64.217,23.906,23.757,24.057,95409,95306,95516,22.808,22.664,22.956
KOR,b,2021,84.176,83.989,84.368,63.851,63.829,63.873,22.02,21.825,22.216,92301,92075,92544,20.324,20.138,20.511
LTU,m,2021,72.226,71.898,72.564,61.375,61.222,61.536,14.858,14.71,15.007,73027,71794,74234,10.851,10.642,11.066
LTU,f,2021,81.435,81.222,81.661,63.565,63.505,63.63,19.938,19.763,20.131,89630,89121,90165,17.87,17.683,18.069
LTU,b,2021,76.981,76.525,77.453,62.438,62.257,62.62,17.875,17.62,18.134,81357,79939,82809,14.543,14.218,14.884
LVA,m,2021,71.559,71.289,71.818,61.121,61.003,61.238,14.626,14.445,14.818,71364,70373,72348,10.438,10.247,10.624
LVA,f,2021,80.469,80.215,80.714,63.366,63.3,63.43,19.407,19.18,19.625,88129,87640,88571,17.103,16.873,17.318
LVA,b,2021,76.204,75.8,76.612,62.233,62.096,62.37,17.496,17.203,17.802,79853,78659,80984,13.971,13.658,14.299
NLD,m,2021,80.92,80.761,81.08,63.647,63.627,63.667,19.21,19.045,19.379,89920,89699,90144,17.273,17.117,17.429
NLD,f,2021,83.815,83.67,83.952,64.021,63.992,64.048,21.445,21.304,21.584,92306,92126,92471,19.795,19.659,19.926
NLD,b,2021,82.397,82.185,82.618,63.831,63.798,63.866,20.379,20.165,20.608,91102,90839,91373,18.566,18.366,18.78
NOR,m,2021,81.658,81.567,81.756,63.738,63.722,63.753,19.754,19.659,19.846,90717,90584,90851,17.92,17.832,18.01
NOR,f,2021,84.945,84.841,85.053,64.225,64.206,64.242,22.044,21.943,22.15,93995,93838,94148,20.72,20.621,20.826
NOR,b,2021,83.314,83.172,83.457,63.974,63.951,63.997,20.951,20.811,21.089,92308,92091,92521,19.34,19.207,19.475
NZL_NP,m,2021,80.305,80.087,80.539,63.136,63.087,63.183,19.46,19.226,19.69,88227,87955,88504,17.169,16.957,17.388
NZL_NP,f,2021,83.844,83.601,84.1,63.806,63.76,63.854,21.74,21.496,21.98,92172,91871,92492,20.038,19.806,20.283
NZL_NP,b,2021,82.079,81.745,82.421,63.468,63.405,63.537,20.63,20.276,20.975,90210,89794,90626,18.611,18.293,18.932
POL,m,2021,74.515,74.329,74.701,62.034,61.968,62.1,16.209,16.049,16.361,76997,76484,77496,12.48,12.332,12.63
POL,f,2021,82.062,81.876,82.251,63.741,63.703,63.778,20.352,20.169,20.54,90015,89776,90265,18.32,18.147,18.494
POL,b,2021,78.308,78.042,78.599,62.871,62.789,62.95,18.509,18.26,18.779,83406,82839,83990,15.437,15.199,15.691
PRT,m,2021,79.188,79.042,79.324,63.17,63.132,63.208,18.805,18.659,18.947,85184,85009,85365,16.019,15.89,16.145
PRT,f,2021,85.128,84.882,85.368,64.089,64.062,64.118,22.483,22.222,22.742,93575,93390,93760,21.039,20.795,21.279
PRT,b,2021,82.254,81.998,82.504,63.641,63.595,63.691,20.791,20.529,21.054,89523,89251,89804,18.613,18.369,18.854
SWE,m,2021,81.749,81.628,81.887,63.668,63.651,63.685,19.906,19.78,20.041,90834,90648,91019,18.081,17.963,18.214
SWE,f,2021,84.975,84.846,85.103,64.19,64.17,64.207,22.088,21.968,22.219,94101,93919,94294,20.785,20.665,20.91
SWE,b,2021,83.373,83.182,83.554,63.92,63.896,63.945,21.047,20.859,21.23,92427,92173,92691,19.453,19.267,19.628
SVK,m,2021,74.804,74.611,74.99,62.3,62.245,62.358,15.917,15.749,16.098,78555,78090,79031,12.504,12.345,12.663
SVK,f,2021,81.413,81.211,81.63,63.643,63.614,63.672,19.708,19.487,19.936,90161,89926,90390,17.769,17.573,17.979
SVK,b,2021,78.154,77.863,78.453,62.956,62.89,63.017,18.035,17.767,18.336,84270,83707,84823,15.198,14.935,15.474
SVN,m,2021,79.078,78.846,79.321,63.431,63.368,63.493,18.119,17.902,18.349,86359,85844,86899,15.647,15.441,15.87
SVN,f,2021,84.613,84.386,84.85,64.235,64.201,64.271,21.818,21.592,22.051,93400,93157,93643,20.378,20.168,20.602
SVN,b,2021,81.848,81.506,82.211,63.813,63.742,63.883,20.094,19.758,20.426,89752,89182,90402,18.035,17.721,18.365
TWN,m,2021,77.951,77.749,78.146,62.574,62.511,62.635,18.564,18.377,18.759,82832,82451,83240,15.377,15.202,15.543
TWN,f,2021,84.256,84.063,84.441,63.84,63.814,63.866,22.067,21.872,22.255,92519,92291,92758,20.416,20.228,20.597
TWN,b,2021,81.047,80.765,81.337,63.202,63.135,63.272,20.363,20.069,20.642,87639,87172,88124,17.846,17.576,18.109
USA,m,2021,76.691,76.526,76.853,61.858,61.809,61.905,18.432,18.246,18.621,80475,80325,80623,14.833,14.68,14.983
USA,f,2021,81.703,81.571,81.837,63.129,63.102,63.156,21.108,20.97,21.256,87996,87890,88106,18.574,18.447,18.705
USA,b,2021,79.182,78.958,79.405,62.482,62.425,62.535,19.838,19.599,20.084,84181,83994,84361,16.7,16.496,16.912
ISL,m,2021,81.675,81.278,82.083,63.538,63.409,63.676,20.039,19.696,20.423,90509,89776,91276,18.137,17.801,18.505
ISL,f,2021,84.566,84.234,84.922,64.168,64.058,64.277,21.772,21.497,22.063,93689,93183,94194,20.398,20.112,20.705
ISL,b,2021,83.095,82.541,83.672,63.837,63.654,64.009,20.924,20.44,21.435,92039,91128,92942,19.258,18.783,19.78
LUX,m,2021,80.34,79.902,80.779,63.402,63.226,63.58,19.043,18.683,19.388,88944,88113,89786,16.938,16.595,17.299
LUX,f,2021,85.068,84.667,85.472,64.23,64.174,64.288,22.172,21.797,22.572,93983,93453,94568,20.838,20.459,21.229
LUX,b,2021,82.697,82.088,83.348,63.803,63.618,63.982,20.68,20.121,21.296,91363,90358,92387,18.894,18.36,19.485
